更新时间,#genre#
20260227 01:14,url


blacklist,#genre#
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
--娇妹,http://iptv.jxpan.vip:18888/aio/huya/11342404
-小癲,http://iptv.jxpan.vip:18888/aio/huya/11602065
-惟美,http://iptv.jxpan.vip:18888/aio/huya/11352885
-惟美,https://www.goodiptv.club/huya/11352885
-懒猪,http://iptv.jxpan.vip:18888/aio/huya/11342393
-懒猪,https://www.goodiptv.club/huya/11342393
-若凌Provence-,http://iptv.jxpan.vip:18888/aio/huya/11352955
-若凌Provence-,https://www.goodiptv.club/huya/11352955
//常熟综合x,http://8.138.7.223/tv/dl/jstv.php?id=szcs
//张家港新闻综合x,http://8.138.7.223/tv/dl/jstv.php?id=szzjg
//扬州新闻x,http://8.138.7.223/tv/dl/jstv.php?id=yz1
//邗江综合x,http://8.138.7.223/tv/dl/jstv.php?id=yzhj
00:06👉职场健康课,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
01:04👉法律讲堂,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000040BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUd3JM2PCgDefrKOVZLNt0QMAmpLefguRLiOPXiDRWhxHg8yim2giTBA8RILsb%2B8Y5pkFUyZBE%2FkNJAbwncEegkU
01:04👉法律讲堂,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000377/index.m3u8?IAS
02:01👉健康之路,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000375/index.m3u8?
03:19👉X诊所,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281#http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000018926/1.m3u8#http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281&yang-1989#http://58.37.189.47:8088/udp/239.45.3.236:5140#http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
04:29👉健康大问诊,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000368/index.m3u8?IAS
05:10👉健康北京,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
05:25👉一起开心吧,http://glive.grtn.cn/live/lizhi.m3u8
06:00👉中华养生,http://yubox.xyz/php/lngd.php?id=219
07:56👉第一健康,http://pluslive1.sjzntv.cn/yule/playlist.m3u8?zhebd
09:31👉大医本草堂,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226162/index.m3u8#http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000364/1.m3u8#http://101.18.31.77:808/hls/38/index.m3u8#http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000364/1.m3u8#http://101.18.31.77:808/hls/38/index.m3u8
0小行家0,http://iptv.jxpan.vip:18888/aio/douyu/9280356
0小行家0,https://www.goodiptv.club/douyu/9280356
10:08👉健康有话说,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225961/index.m3u8
10:08👉健康有话说,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
10:19👉X诊所,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000018926/1.m3u8#http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281&yang-1989#http://58.37.189.47:8088/udp/239.45.3.236:5140#http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281&yang-1989
11No巴蒂11,http://iptv.jxpan.vip:18888/aio/douyu/9455937
12:35👉医道健康,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?zanhd
17:25👉养生堂,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225931/index.m3u8
17:25👉养生堂,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
17:34👉名医话养生,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000182/index.m3u8?IAS
17:34👉名医话养生,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000182/index.m3u8?IAS
17号说动漫,http://iptv.jxpan.vip:18888/aio/douyu/9822277
17号说动漫,https://www.goodiptv.club/douyu/9822277
18:05👉健康之路,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225677/index.m3u8
18:06👉回家吃饭,http://113.64.145.204:8081/hls/33/index.m3u8
18:50👉法制讲堂,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225669/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
1900影剧室,http://iptv.jxpan.vip:18888/aio/douyu/7796193
1905电影网👉国内,http://ygbh.live/1905.php?id=1905a
1905电影网👉国外,http://ygbh.live/1905.php?id=1905b
1、抓手操完整版,https://qiniu.production.link3.cc/files/upload_video/link3_1709174476837/uploadvideo_1709461600950.mp4#https://mpimg.cn/down.php/a3cee593b02a05b78bea4cda7e626e22.mp4
2025年春晚,https://svip.high24-playback.com/20250129/17159_7bca93c4/2000k/hls/mixed.m3u8
2025年春晚,https://svipsvip.ffzyread1.com/20250129/35458_c988286f/index.m3u8
